movie_ID;num_critic_for_reviews;picture_type;duration;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;movie_facebook_likes;num_voted_users;language;num_user_for_reviews;budget;origin_country;title_year;movie_rating;aspect_ratio;countries_launched_in;content_rating;gross
81;73.0;Color;146.0;352.0;16509.0;1200;441;25474;60573.0;English;128.0;975477.7974;USA;2007;6.3;1.89;43.0;R;537580.0
82;596.0;Color;107.0;189.0;0.0;0;78;0;10079.0;English;750.0;324547497.6;USA;1988;4.6;2.39;17.0;PG-13;81022333.0
83;416.0;Color;130.0;1219.0;0.0;0;138;23513;51162.0;English;783.0;318991740.8;USA;1956;9.3;1.89;28.0;PG-13;112048368.9
84;1.0;Color;71.0;0.0;0.0;0;0;0;161854.0;English;1.0;137272.9655;USA;2010;2.6;2.39;76.0;R;243768.0
85;24.0;Color;97.0;0.0;1010.0;576;715;2;237676.0;English;1.0;1745277.96;USA;2007;1.9;1.89;45.0;R;11540112.0
86;97.0;Color;91.0;72.0;128.0;236;472;989;4401.0;English;125.0;21481256.7;USA;2006;6.0;1.89;1.0;R;8712564.0
87;701.0;Color;93.0;0.0;15609.0;863;486;4000;34191.0;English;592.0;71080445.4;USA;2013;6.5;1.89;11.0;PG;83024900.0
88;1.0;Color;168.0;685.0;0.0;0;0;53879;157175.0;French;63.0;18608075.53;UK;2002;9.3;2.39;99.0;R;7563397.0
89;46.0;Color;126.0;407.0;638.0;107;39;196;68227.0;English;140.0;3861205.0;USA;1999;7.1;1.89;1.0;R;1997807.0
90;124.0;;;0.0;6402.0;0;0;0;287743.0;English;547.0;25882641.74;USA;2002;6.9;2.39;36.0;R;13103828.0
91;286.0;Color;93.0;878.0;27266.0;9092;3000;99229;297888.0;English;431.0;150008647.4;USA;2012;6.9;1.89;78.0;PG-13;37553932.0
92;1.0;Color;87.0;0.0;0.0;240;96;0;22.0;English;210.0;105824180.0;USA;1992;5.3;2.39;26.0;R;37939782.0
93;732.0;Color;88.0;251.0;0.0;464;391;0;2491.0;English;382.0;104122687.6;USA;1999;7.1;1.89;20.0;PG-13;81516986.52
94;295.0;;103.0;266.0;17871.0;3092;973;47973;12203.0;English;342.0;87156096.23;USA;2015;8.0;1.89;29.0;PG;176997107.0
95;142.0;Color;120.0;46.0;526.0;198;113;0;7430.0;English;200.0;92753585.73;USA;2007;6.7;2.39;41.0;R;18317151.0
96;74.0;Color;103.0;7.0;17057.0;14188;9937;15218;125667.0;English;66.0;80885863.19;USA;2012;6.6;1.89;1.0;PG-13;22525921.0
97;763.0;Color;93.0;34.0;523.0;306;174;825;5158.0;English;504.0;14620534.93;USA;2005;7.5;2.39;39.0;;72755517.0
98;426.0;Color;130.0;285.0;33000.0;23000;767;99000;54595.0;English;374.0;124771598.0;USA;2015;7.8;2.39;9.0;PG-13;70235322.0
99;336.0;Color;104.0;59.0;972.0;407;202;23000;43619.0;English;339.0;42741983.0;USA;2013;6.5;2.39;1.0;R;27689474.0
100;159.0;Color;116.0;105.0;844.0;729;246;764;40273.0;English;313.0;22018391.0;USA;2006;4.2;1.89;26.0;R;5851188.0
101;212.0;Color;107.0;50.0;293.0;117;58;0;101205.0;English;156.0;88048717.0;USA;2010;6.5;1.89;15.0;PG-13;30993544.0
102;138.0;Color;165.0;0.0;0.0;0;27;0;228174.0;English;413.0;23466730.25;USA;2001;7.1;1.89;100.0;PG;27796042.0
103;375.0;Color;105.0;226.0;108.0;1015;459;20216;53133.0;English;630.0;86580050.49;USA;2012;6.3;1.89;5.0;R;52000688.0
104;106.0;Color;99.0;1456.0;983.0;614;0;0;77061.0;English;1.0;7392843.439;USA;2006;7.7;1.89;1.0;R;11694528.0
105;307.0;Color;115.0;407.0;28990.0;309;0;0;55557.0;English;318.0;42721410.25;UK;2015;5.3;1.89;50.0;PG;40687294.0
106;15.0;Color;71.0;166.0;934.0;868;600;1262;182983.0;;278.0;6050533.746;USA;2005;3.4;2.39;57.0;R;7001720.0
107;123.0;Color;116.0;503.0;23000.0;18000;982;0;85688.0;English;457.0;80116628.0;USA;2003;5.6;2.39;24.0;R;19480739.0
108;107.0;Color;104.0;0.0;964.0;931;327;299;31124.0;English;291.0;21821404.0;USA;2001;4.7;2.39;25.0;PG-13;27053815.0
109;166.0;Color;112.0;0.0;17989.0;1000;725;10892;58871.0;English;230.0;50802685.35;USA;1998;4.9;1.89;13.0;PG-13;34912982.0
110;91.0;Color;208.0;26.0;2306.0;881;932;0;51425.0;English;169.0;32290058.48;USA;1976;8.1;2.39;38.0;PG;21500000.0
111;1.0;Color;93.0;0.0;1138.0;271;62;0;173906.0;English;277.0;107383208.1;USA;1991;2.1;1.89;47.0;PG-13;29250106.68
112;59.0;;73.0;0.0;70.0;0;0;1503;22.0;English;146.0;28127710.68;USA;1981;5.2;2.39;18.0;R;22168359.0
113;1.0;Color;90.0;0.0;0.0;0;0;710;13571.0;English;26.0;24636.34408;USA;2011;5.1;2.39;6.0;R;425899.0
114;288.0;Color;130.0;776.0;898.0;584;358;15000;150002.0;English;136.0;1512947.0;USA;2011;6.9;2.39;27.0;R;4463292.0
115;10.0;Color;99.0;6.0;8445.0;3711;910;382;22.0;English;1.0;;USA;2012;6.6;1.89;9.0;R;19348.0
116;203.0;Color;106.0;174.0;687.0;741;343;0;53057.0;English;410.0;60127464.03;UK;2003;5.0;2.39;8.0;PG-13;32048809.0
117;231.0;Color;144.0;75.0;823.0;0;0;0;12856.0;French;219.0;9923598.631;;2013;8.9;2.39;18.0;R;5701643.0
118;39.0;Color;112.0;2.0;811.0;331;244;87;53752.0;Others;29.0;69746.88911;USA;1996;6.3;2.39;45.0;R;146083.0
119;27.0;Color;88.0;736.0;;122;367;0;52253.0;English;322.0;18462281.99;USA;2001;2.3;1.89;12.0;R;40066497.0
120;108.0;Color;121.0;128.0;1032.0;573;429;0;2692.0;English;487.0;101317134.2;USA;1999;7.1;1.89;37.0;R;32541719.0
121;237.0;Color;125.0;0.0;20722.0;979;858;0;21714.0;English;445.0;31301245.12;USA;2006;5.5;1.89;14.0;R;22518325.0
122;42.0;Color;91.0;16.0;1000.0;0;63;735;884.0;English;32.0;3872.213939;USA;2006;5.4;2.39;34.0;R;20380.0
123;456.0;Color;85.0;0.0;14740.0;1309;1242;54978;34488.0;English;612.0;193967079.4;USA;1997;3.9;2.39;1.0;PG-13;60522097.0
124;74.0;Color;108.0;718.0;812.0;399;434;247;2241.0;English;51.0;6415325.049;USA;2001;5.1;2.39;21.0;R;5881504.0
125;609.0;Color;127.0;0.0;10054.0;3630;1165;11640;87011.0;English;398.0;80236413.45;USA;2011;5.7;1.89;22.0;PG;88761720.0
126;120.0;Color;100.0;164.0;18000.0;14000;99;0;60095.0;English;365.0;49783658.0;USA;1992;7.8;2.39;10.0;R;10725228.0
127;50.0;Color;88.0;8.0;303.0;269;245;159;287920.0;English;46.0;880731.7675;USA;2000;5.5;2.39;99.0;R;13019253.0
128;241.0;Color;96.0;708.0;2298.0;1041;303;23671;1591.0;English;198.0;584219.9645;USA;2010;6.7;1.89;33.0;R;322157.0
129;15.0;Color;79.0;35.0;0.0;682;626;874;24146.0;English;9.0;63273686.88;USA;1994;6.4;1.89;20.0;R;16290976.0
130;64.0;Color;84.0;12.0;159.0;102;102;231;96853.0;English;181.0;854174.0;USA;2001;3.9;2.39;42.0;R;3100650.0
131;214.0;Color;101.0;0.0;2580.0;1136;563;0;59238.0;English;120.0;22968965.47;USA;1997;7.0;2.39;16.0;R;25277561.0
132;430.0;Color;117.0;220.0;18984.0;1021;905;28069;7600.0;English;393.0;22575114.15;USA;2010;7.4;1.89;21.0;R;12134420.0
133;198.0;Color;81.0;12.0;0.0;652;489;0;195962.0;English;415.0;24374591.39;USA;2012;7.5;2.39;21.0;R;18225165.0
134;30.0;Color;141.0;0.0;20641.0;16071;3393;0;6216.0;English;106.0;34778930.23;USA;1996;7.2;2.39;1.0;PG-13;21554585.0
135;120.0;Color;127.0;36.0;562.0;499;399;0;139759.0;English;56.0;13916148.0;Others;2015;6.9;2.39;84.0;R;12188642.0
136;142.0;Color;117.0;82.0;20518.0;1132;765;0;75675.0;English;390.0;46415318.03;USA;1987;9.2;2.39;19.0;R;31968347.0
137;186.0;;140.0;42.0;12329.0;8976;2187;0;3065.0;English;458.0;3327149.878;USA;2005;6.6;2.39;13.0;R;19377727.0
138;220.0;Color;90.0;15.0;87000.0;17000;16000;0;58678.0;English;518.0;5531737.0;USA;2005;6.0;1.89;11.0;R;64255243.0
139;301.0;Color;97.0;0.0;227.0;218;106;0;22.0;English;198.0;240378.0;USA;2010;6.3;2.39;11.0;R;1768416.0
140;760.0;Color;80.0;23.0;66893.0;1085;1463;0;173985.0;English;1336.0;26778874.96;USA;2003;5.0;2.39;70.0;G;85884815.0
141;116.0;Color;123.0;0.0;726.0;411;230;0;177440.0;English;137.0;10009971.07;USA;2000;7.1;1.89;99.0;R;8596914.0
142;198.0;Color;99.0;22862.0;26770.0;1086;317;0;7277.0;English;185.0;46801537.18;USA;2008;6.1;1.89;20.0;PG;35565975.0
143;150.0;Color;98.0;0.0;0.0;794;842;0;27808.0;English;106.0;619347.2688;USA;2008;7.3;1.89;4.0;R;1818681.0
144;18.0;Color;104.0;53.0;2000.0;595;576;158;99821.0;English;111.0;1923148.0;USA;2001;4.1;1.89;24.0;R;5974653.0
145;1.0;Color;85.0;268.0;0.0;388;131;0;162763.0;English;1.0;141402634.3;USA;1982;6.0;2.39;8.0;PG;39514713.0
146;59.0;Color;109.0;192.0;903.0;631;526;0;37987.0;English;135.0;1474612.478;USA;2005;7.9;2.39;11.0;R;395592.0
147;247.0;Color;123.0;693.0;25779.0;12779;10075;2593;21098.0;English;259.0;58139140.87;USA;1999;5.9;2.39;17.0;PG-13;66808615.0
148;173.0;Color;126.0;0.0;14000.0;13000;10000;18000;131782.0;English;742.0;19446431.0;USA;1997;7.7;1.89;28.0;PG-13;63540020.0
149;206.0;Color;102.0;235.0;956.0;845;520;0;39061.0;English;502.0;37459527.0;USA;2006;6.8;1.89;19.0;R;62318875.0
150;139.0;Color;103.0;0.0;629.0;561;504;0;80903.0;English;177.0;74925615.0;USA;1981;7.0;1.89;13.0;PG-13;42365600.0
151;180.0;Color;96.0;238.0;100347.0;2161;677;0;35848.0;English;688.0;247230218.2;USA;2006;5.6;1.89;6.0;PG-13;60655503.0
152;109.0;;82.0;12.0;0.0;0;0;0;261247.0;English;113.0;21737400.39;USA;2006;5.4;2.39;92.0;R;18438149.0
153;1.0;Color;107.0;13.0;861.0;827;740;186;21980.0;English;2.0;3839008.553;USA;1993;6.6;1.89;14.0;R;8880705.0
154;337.0;Black and White;167.0;0.0;0.0;44;8;0;45058.0;French;218.0;6526084.448;UK;2010;8.4;1.89;1.0;R;2222647.0
155;87.0;Color;110.0;39.0;199.0;0;0;18719;50932.0;Others;1.0;242727.5725;Others;1998;8.6;1.89;15.0;R;2126511.0
156;294.0;Color;85.0;3.0;0.0;1132;715;0;2253.0;English;376.0;48787162.38;USA;2016;4.2;2.39;8.0;PG-13;40168080.0
157;647.0;Color;141.0;14000.0;29000.0;15000;3000;15000;45401.0;English;667.0;90750849.0;USA;2002;8.0;1.89;46.0;PG-13;164435221.0
158;55.0;Color;100.0;0.0;839.0;516;15;2151;24319.0;English;93.0;8796790.714;USA;1988;7.3;2.39;11.0;R;24741700.0
159;65.0;Color;96.0;;4000.0;543;139;915;56480.0;English;117.0;469274.0;USA;2007;5.0;2.39;66.0;R;766487.0
160;278.0;Color;94.0;3.0;2433.0;1014;1023;0;343274.0;English;495.0;3318722.45;UK;2011;3.7;1.89;27.0;PG;24407944.0
161;159.0;Color;110.0;690.0;0.0;6;28;16587;156225.0;English;132.0;17211226.2;USA;2013;7.5;2.39;19.0;R;28831145.0
162;481.0;Color;152.0;0.0;41244.0;618;299;145551;45890.0;English;512.0;36460291.45;USA;2001;9.0;2.39;29.0;R;13651662.0
163;81.0;Color;84.0;608.0;557.0;276;290;0;79833.0;English;373.0;2641962.03;USA;1999;8.4;2.39;36.0;R;17508936.0
164;533.0;Color;101.0;84.0;;15665;5835;1462;47650.0;English;284.0;133388332.4;USA;2012;5.9;1.89;8.0;NC-17;52580895.0
165;105.0;Color;68.0;0.0;20545.0;1276;965;0;1014.0;;110.0;10414781.71;USA;2004;6.6;2.39;22.0;R;8378141.0
166;221.0;Color;103.0;210.0;3642.0;1076;648;11272;48829.0;English;176.0;441994.7611;;1996;7.7;1.89;41.0;R;14337579.0
167;76.0;Color;100.0;87.0;887.0;805;420;305;19050.0;English;48.0;333638.0;USA;2004;6.9;1.89;57.0;R;396035.0
168;381.0;Color;155.0;0.0;0.0;0;0;0;105513.0;English;1.0;214671282.7;;2016;6.6;2.39;16.0;PG;43929341.0
169;104.0;Color;101.0;37.0;2000.0;886;595;612;172236.0;English;388.0;27679064.0;USA;2002;3.3;1.89;89.0;R;13208023.0
170;1.0;Color;128.0;89.0;3954.0;462;213;17628;38542.0;English;336.0;20497580.7;USA;2013;8.9;2.39;30.0;PG-13;23472900.0
171;155.0;;107.0;0.0;20798.0;1001;583;32596;15315.0;English;432.0;37276250.42;USA;1993;8.9;2.39;36.0;R;23272306.0
172;147.0;Color;104.0;600.0;1323.0;743;713;778;67213.0;English;66.0;29060.7162;Others;2002;6.8;2.39;29.0;R;23106.0
173;60.0;Color;131.0;;22386.0;367;0;0;48618.0;English;564.0;69902803.85;USA;2000;7.4;2.39;36.0;R;29753944.0
174;523.0;Color;95.0;8.0;15274.0;12003;12003;0;24749.0;English;661.0;116388821.6;USA;2006;5.6;1.89;1.0;PG-13;88658172.0
175;3.0;Color;107.0;0.0;1029.0;809;881;0;21739.0;English;1.0;388315.8863;UK;1996;5.6;1.89;1.0;R;141853.0
176;1.0;Color;98.0;48.0;1160.0;246;707;999;183723.0;English;7.0;215632.018;USA;1999;1.6;1.89;1.0;R;163591.0
177;1.0;Color;327.0;3.0;1286.0;1031;1028;8192;23461.0;Cantonese;61.0;218685.2308;USA;2000;8.6;2.39;5.0;R;4496583.0
178;34.0;Color;114.0;0.0;1055.0;1092;770;0;149300.0;Others;93.0;977203.2391;USA;2004;7.4;1.89;;R;3420871.0
179;35.0;Color;111.0;86.0;2759.0;5045;1045;3759;2725.0;English;200.0;35499447.42;USA;2010;4.4;1.89;17.0;PG;36931089.0
180;1.0;Color;118.0;157.0;21074.0;1101;0;0;55425.0;English;1.0;22370357.45;USA;1979;6.8;2.39;28.0;PG;46815748.0
181;758.0;Color;110.0;14759.0;12105.0;3497;798;0;17309.0;English;600.0;20042828.75;USA;1987;6.1;2.39;17.0;PG-13;82670733.0
182;45.0;Color;90.0;15.0;615.0;373;25;0;56852.0;English;157.0;9061257.044;USA;1985;6.9;1.89;3.0;R;11806119.0
183;9.0;Color;117.0;255.0;0.0;969;668;0;132981.0;English;158.0;1480594.894;USA;1994;8.7;1.89;6.0;R;395592.0
184;1.0;Color;121.0;0.0;1520.0;1426;1405;0;267560.0;English;1.0;30897771.41;USA;2013;4.2;2.39;98.0;R;37295394.0
185;25.0;Color;105.0;92.0;1039.0;912;818;0;12186.0;English;234.0;10287489.21;USA;2003;5.8;2.39;1.0;R;10411980.0
186;276.0;Color;67.0;1.0;0.0;10;56;0;107886.0;English;393.0;7128487.208;USA;2014;4.4;2.39;3.0;R;17683670.0
187;296.0;Color;104.0;71.0;12000.0;2000;982;15000;209320.0;English;211.0;43569414.0;USA;2011;5.5;2.39;89.0;R;10706786.0
188;232.0;Color;77.0;0.0;3773.0;1234;414;0;22.0;Others;15.0;5850.453049;USA;2014;6.4;1.89;14.0;R;59379.0
189;54.0;;105.0;637.0;;1136;781;0;552.0;Others;143.0;13715242.54;USA;2000;6.0;2.39;7.0;R;26183197.0
190;173.0;Color;110.0;42.0;9840.0;2059;679;14711;178491.0;English;83.0;12579886.16;USA;2012;5.7;1.89;99.0;PG-13;41102171.0
191;2.0;Color;127.0;109.0;16000.0;469;324;76;27673.0;English;8.0;2008172.0;USA;1978;6.5;2.39;1.0;R;1000000.0
192;91.0;Color;148.0;72.0;582.0;103;99;0;14025.0;English;217.0;89462950.0;USA;1999;6.7;1.89;43.0;PG-13;39251128.0
